Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Missing Readme: A Guide for the New Software Engineer,"Chris Riccomini, Dmitriy Ryaboy","",9781718501836,paperback,read,2025/08/14,"","",1,"",,,,,,,5.0,<div>will be re-reading this often as I attempt engineer more software</div>,"","","",Yes
What Moves the Dead,T. Kingfisher,"",9781250830753,hardcover,to-read,2026/04/08,"","",0,"",,,,,,,,,"",,"",No
The Coin,Yasmin Zaher,"",9781646222100,hardcover,to-read,2026/01/07,"","",0,"",,,,,,,,,"",,"",No
The Complete Maus,Art Spiegelman,"",9780141014081,paperback,to-read,2023/04/30,"","",0,"",,,,,,,,,"",,"",No
"Talking to My Daughter About the Economy: or, How Capitalism Works—And How It Fails",Yanis Varoufakis,"Jacob Moe (Translator), Yanis Varoufakis (Translator)",9780374538491,paperback,did-not-finish,2024/01/20,"","",0,"",,,,,,,,,"",,"",No
The God of Small Things,Arundhati Roy,"",9780143028574,paperback,to-read,2026/03/22,"","",0,"",,,,,,,,,"",,"",Yes
The Exes,Leodora Darlington,"",9798217043859,hardcover,to-read,2026/02/01,"","",0,"",,,,,,,,,"",,botm,No
On Earth We're Briefly Gorgeous,Ocean Vuong,"",9780525562023,hardcover,did-not-finish,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
How to Say Babylon,Safiya Sinclair,"",B0BJRS7YPV,audio,to-read,2026/02/03,"","",0,"",,,,,,,,,"",,"",No
Persepolis: The Story of a Childhood,Marjane Satrapi,"Mattias Ripa (Translator), Blake Ferriss (Translator)",9780375714573,paperback,to-read,2025/08/24,"","",0,"",,,,,,,,,"",,"",No
Eleanor Oliphant Is Completely Fine,Gail Honeyman,"",9780735220683,hardcover,read,2023/06/26,2023/07/10,2023/06/26-2023/07/10,1,"",,,,,,,,,"",,"",No
After the Apocalypse,Maureen F. McHugh,"",9781931520294,paperback,to-read,2026/02/20,"","",0,"",,,,,,,,,"",,"",No
Train to Pakistan,Khushwant Singh,"",9780143065883,paperback,to-read,2026/01/18,"","",0,"",,,,,,,,,"",,"",Yes
Born a Crime: Stories From a South African Childhood,Trevor Noah,"",9780385689229,hardcover,to-read,2026/01/09,"","",0,"",,,,,,,,,"",,"",No
Second Place,Rachel Cusk,"",9780374279226,hardcover,to-read,2026/02/20,"","",0,"",,,,,,,,,"",,"",No
